==================================================================================
gen|  eval  |    f_opt    |    f_max    |    f_avg    |    f_min    |    f_std    
----------------------------------------------------------------------------------
 8 |  900   | -3.39417E+10| -6.87923E+09| -1.93216E+10| -3.39417E+10| 9.99397E+09 
 9 |  1000  | -3.39417E+10| -6.87923E+09| -1.93216E+10| -3.39417E+10| 9.99397E+09 
 10|  1100  | -3.39417E+10| -6.87923E+09| -1.93216E+10| -3.39417E+10| 9.99397E+09 
 11|  1200  | -3.39417E+10| -6.87923E+09| -1.79520E+10| -3.39417E+10| 8.63533E+09 
 12|  1300  | -3.39417E+10| -4.83310E+09| -1.51714E+10| -3.39417E+10| 8.28956E+09 
 13|  1400  | -3.39417E+10| -4.83310E+09| -1.51758E+10| -3.39417E+10| 7.65056E+09 
 14|  1500  | -3.87522E+10| -4.83310E+09| -1.75570E+10| -3.87522E+10| 8.56575E+09 
 15|  1600  | -3.87522E+10| -1.47390E+09| -1.74707E+10| -3.87522E+10| 8.87672E+09 
 16|  1700  | -3.87522E+10| -1.47390E+09| -1.73396E+10| -3.87522E+10| 8.42123E+09 
 17|  1800  | -3.87522E+10| -9.38554E+08| -1.67820E+10| -3.87522E+10| 8.77140E+09 
 18|  1900  | -3.87522E+10| -9.38554E+08| -1.74590E+10| -3.87522E+10| 8.44496E+09 
 19|  2000  | -3.87522E+10| -9.38554E+08| -1.72026E+10| -3.87522E+10| 7.90480E+09 
 20|  2100  | -4.09752E+10| -9.38554E+08| -1.86131E+10| -4.09752E+10| 8.60001E+09 
 21|  2200  | -4.09752E+10| -9.38554E+08| -1.90937E+10| -4.09752E+10| 8.99612E+09 
 22|  2300  | -4.09752E+10| -9.38554E+08| -1.97233E+10| -4.09752E+10| 9.08709E+09 
 23|  2400  | -4.09752E+10| -9.38554E+08| -1.96060E+10| -4.09752E+10| 9.07921E+09 
 24|  2500  | -4.23364E+10| -9.38554E+08| -1.98723E+10| -4.23364E+10| 9.30336E+09 
 25|  2600  | -4.23364E+10| -9.38554E+08| -2.06511E+10| -4.23364E+10| 9.29401E+09 
 26|  2700  | -4.58195E+10| -9.38554E+08| -2.24023E+10| -4.58195E+10| 9.44268E+09 
